Time,EXPERIMENT
0.4884,5.3458
1.40936,6.088585136880619
2.33032,5.916186243161789
3.25128,6.038450641115466
4.17224,7.010687790069358
5.0932,6.594331806250276
6.01416,7.422032612908071
6.93512,8.529766905644157
7.85608,8.710202746978194
8.777040000000001,8.480307766204556
9.698,6.748677704730803
10.61896,6.7581151683607645
11.53992,7.756555251832029
12.460880000000001,7.515597018743457
13.38184,6.383842124539071
14.3028,6.31332131093634
15.22376,7.410071645837824
16.14472,8.07578286180069
17.06568,8.949964852513627
17.986639999999998,9.508740580555454
18.9076,9.049717538396182
19.82856,7.633024652246671
20.749519999999997,6.509724276804225
21.670479999999998,6.474598639882675
22.59144,5.349463739193916
23.5124,6.0238
